player,year,tournament,has_any_interview,has_pre_match_interview
Abdullah Shelbayh,2024,QATAR EXXONMOBIL OPEN,True,False
Abdulrahman Al Janahi,2023,DUBAI DUTY FREE TENNIS CHAMPIONSHIPS,True,False
Abedallah Shelbayh,2023,QATAR EXXONMOBIL OPEN,True,False
Adam Pavlasek,2026,UNITED CUP,True,True
Adam Pavlasek,2025,DAVIS CUP QULIFIERS 2ND ROUND: CZECHIA vs USA,True,True
Adam Pavlasek,2023,DAVIS CUP FINALS,True,True
Adam Walton,2026,ROLAND GARROS,True,False
Adam Walton,2026,AUSTRALIAN OPEN,True,False
Adil Shamasdin,2023,UNITED CUP,True,False
Adil Shamasdin,2020,ATP CUP,True,False
Adrian Andreev,2022,UNITED CUP,True,True
Adrian Andreev,2020,ATP CUP,True,False
Adrian Mannarino,2024,ROLEX PARIS MASTERS,True,False
Adrian Mannarino,2024,AUSTRALIAN OPEN,True,False
Adrian Mannarino,2024,UNITED CUP,True,True
Adrian Mannarino,2023,AUSTRALIAN OPEN,True,False
Adrian Mannarino,2022,UNITED CUP,True,False
Adrian Mannarino,2022,AUSTRALIAN OPEN,True,False
Adrian Mannarino,2021,DAVIS CUP FINALS,True,False
Adrian Mannarino,2021,ROLEX PARIS MASTERS,True,False
Adrian Mannarino,2021,AUSTRALIAN OPEN,True,False
Adrian Mannarino,2020,ROLEX PARIS MASTERS,True,False
Adrian Mannarino,2020,US OPEN,True,True
Adriano Fuorivia,2020,ATP CUP,True,True
Agnieszka Radwanska,2023,UNITED CUP,True,False
Ai Sugiyama,2024,BILLIE JEAN KING CUP,True,False
Aisam-Ul-Haq Qureshi,2023,DUBAI DUTY FREE TENNIS CHAMPIONSHIPS,True,False
Ajla Tomljanovic,2026,AUSTRALIAN OPEN,True,False
Ajla Tomljanovic,2026,ADELAIDE INTERNATIONAL,True,False
Ajla Tomljanovic,2025,AUSTRALIAN OPEN,True,False
Ajla Tomljanovic,2024,BILLIE JEAN KING CUP,True,True
Ajla Tomljanovic,2024,AUSTRALIAN OPEN,True,True
Ajla Tomljanovic,2024,UNITED CUP,True,True
Ajla Tomljanovic,2023,UNITED CUP,True,True
Ajla Tomljanovic,2023,BILLIE JEAN KING CUP,True,True
Ajla Tomljanovic,2023,AUSTRALIAN OPEN,True,True
Ajla Tomljanovic,2022,UNITED CUP,True,True
Ajla Tomljanovic,2022,BILLIE JEAN KING CUP,True,False
Ajla Tomljanovic,2022,US OPEN,True,False
Ajla Tomljanovic,2022,CITI OPEN,True,False
