player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,full_name,tour
100644,Alexander,Zverev,R,19970420.0,GER,198.0,Q13990552,Alexander Zverev,ATP
102093,Martin,Damm,L,20030930.0,USA,203.0,Q381173,Martin Damm,ATP
103333,Ivo,Karlovic,R,19790228.0,CRO,208.0,Q295483,Ivo Karlovic,ATP
103499,Aqeel,Khan,R,19800130.0,PAK,,Q4782530,Aqeel Khan,ATP
103529,Aisam Ul Haq,Qureshi,R,19800317.0,PAK,183.0,Q409547,Aisam Ul Haq Qureshi,ATP
103565,Stephane,Robert,R,19800517.0,FRA,185.0,Q552542,Stephane Robert,ATP
103819,Roger,Federer,R,19810808.0,SUI,185.0,Q1426,Roger Federer,ATP
103852,Feliciano,Lopez,L,19810920.0,ESP,188.0,Q223695,Feliciano Lopez,ATP
103893,Paolo,Lorenzi,R,19811215.0,ITA,183.0,Q708313,Paolo Lorenzi,ATP
103917,Nicolas,Mahut,R,19820121.0,FRA,191.0,Q317974,Nicolas Mahut,ATP
103990,Tommy,Robredo,R,19820501.0,ESP,180.0,Q213199,Tommy Robredo,ATP
104112,Benjamin,Balleret,R,19830115.0,MON,185.0,Q2080514,Benjamin Balleret,ATP
104215,Andrei,Gorban,U,19830719.0,MDA,,Q4755797,Andrei Gorban,ATP
104229,Yen Hsun,Lu,R,19830814.0,TPE,180.0,Q313144,Yen Hsun Lu,ATP
104233,Frederik,Nielsen,R,19830827.0,DEN,190.0,Q714047,Frederik Nielsen,ATP
104235,Matwe,Middelkoop,R,19830903.0,NED,191.0,Q527839,Matwe Middelkoop,ATP
104259,Philipp,Kohlschreiber,R,19831016.0,GER,178.0,Q77149,Philipp Kohlschreiber,ATP
104269,Fernando,Verdasco,L,19831115.0,ESP,188.0,Q191740,Fernando Verdasco,ATP
104291,Malek,Jaziri,R,19840120.0,TUN,185.0,Q440477,Malek Jaziri,ATP
104312,Andreas,Seppi,R,19840221.0,ITA,190.0,Q319572,Andreas Seppi,ATP
104327,Steve,Darcis,R,19840313.0,BEL,178.0,Q164531,Steve Darcis,ATP
104424,Go,Soeda,R,19840905.0,JPN,178.0,Q373544,Go Soeda,ATP
104460,Dustin,Brown,R,19841208.0,JAM,196.0,Q77159,Dustin Brown,ATP
104467,Lamine,Ouahab,R,19841222.0,ALG,185.0,Q1801569,Lamine Ouahab,ATP
104468,Gilles,Simon,R,19841227.0,FRA,183.0,Q212833,Gilles Simon,ATP
104470,Komlavi,Loglo,R,19841230.0,TOG,183.0,Q1370987,Komlavi Loglo,ATP
104527,Stan,Wawrinka,R,19850328.0,SUI,183.0,Q193661,Stan Wawrinka,ATP
104542,Jo-Wilfried,Tsonga,R,19850417.0,FRA,188.0,Q192661,Jo-Wilfried Tsonga,ATP
104545,John,Isner,R,19850426.0,USA,208.0,Q53566,John Isner,ATP
104586,Lukas,Rosol,R,19850724.0,CZE,193.0,Q29059,Lukas Rosol,ATP
104655,Pablo,Cuevas,R,19860101.0,URU,180.0,Q358651,Pablo Cuevas,ATP
104656,Haydn,Lewis,L,19860102.0,BAR,,Q5686461,Haydn Lewis,ATP
104660,Sergiy,Stakhovsky,R,19860106.0,UKR,193.0,Q211636,Sergiy Stakhovsky,ATP
104665,Pablo,Andujar,R,19860123.0,ESP,180.0,Q373571,Pablo Andujar,ATP
104678,Viktor,Troicki,R,19860210.0,SRB,193.0,Q148225,Viktor Troicki,ATP
104731,Kevin,Anderson,R,19860518.0,RSA,203.0,Q299956,Kevin Anderson,ATP
104745,Rafael,Nadal,L,19860603.0,ESP,185.0,Q10132,Rafael Nadal,ATP
104755,Richard,Gasquet,R,19860618.0,FRA,183.0,Q209436,Richard Gasquet,ATP
104792,Gael,Monfils,R,19860901.0,FRA,193.0,Q186429,Gael Monfils,ATP
104797,Denis,Istomin,R,19860907.0,UZB,185.0,Q317961,Denis Istomin,ATP
104810,Zhe,Li,R,19860920.0,CHN,183.0,Q8994318,Zhe Li,ATP
104868,James,Ward,R,19870209.0,GBR,190.0,Q959602,James Ward,ATP
104871,Jeremy,Chardy,R,19870212.0,FRA,188.0,Q176577,Jeremy Chardy,ATP
104882,Blaz,Kavcic,R,19870305.0,SLO,188.0,Q373612,Blaz Kavcic,ATP
104897,Matthias,Bachinger,R,19870402.0,GER,188.0,Q77164,Matthias Bachinger,ATP
104898,Robin,Haase,R,19870406.0,NED,191.0,Q441037,Robin Haase,ATP
104901,Vladimir,Ivanov,R,19870410.0,EST,,Q7938379,Vladimir Ivanov,ATP
104905,Nicolas,Barrientos,R,19870424.0,COL,175.0,Q6042102,Nicolas Barrientos,ATP
104907,Jose Rubin,Statham,R,19870425.0,NZL,180.0,Q6279557,Jose Rubin Statham,ATP
104918,Andy,Murray,R,19870515.0,GBR,191.0,Q10125,Andy Murray,ATP
104919,Leonardo,Mayer,R,19870515.0,ARG,188.0,Q33249,Leonardo Mayer,ATP
104925,Novak,Djokovic,R,19870522.0,SRB,188.0,Q5812,Novak Djokovic,ATP
104926,Fabio,Fognini,R,19870524.0,ITA,178.0,Q251980,Fabio Fognini,ATP
104947,Marsel,Ilhan,R,19870611.0,TUR,191.0,Q369878,Marsel Ilhan,ATP
104999,Mischa,Zverev,L,19870822.0,GER,190.0,Q60289,Mischa Zverev,ATP
105011,Illya,Marchenko,R,19870908.0,UKR,185.0,Q715773,Illya Marchenko,ATP
105023,Sam,Querrey,R,19871007.0,USA,198.0,Q54538,Sam Querrey,ATP
105030,Michael,Venus,R,19871016.0,NZL,191.0,Q6835083,Michael Venus,ATP
105041,Lukas,Lacko,R,19871103.0,SVK,185.0,Q440514,Lukas Lacko,ATP
105051,Matthew,Ebden,R,19871126.0,AUS,188.0,Q515677,Matthew Ebden,ATP
105053,Santiago,Giraldo,R,19871127.0,COL,188.0,Q357335,Santiago Giraldo,ATP
105062,Mikhail,Kukushkin,R,19871226.0,KAZ,183.0,Q459166,Mikhail Kukushkin,ATP
105063,Andrea,Arnaboldi,L,19871227.0,ITA,180.0,Q1112775,Andrea Arnaboldi,ATP
105064,Thomaz,Bellucci,L,19871230.0,BRA,188.0,Q312345,Thomaz Bellucci,ATP
105074,Ruben,Bemelmans,L,19880114.0,BEL,183.0,Q718187,Ruben Bemelmans,ATP
105077,Albert,Ramos,L,19880117.0,ESP,188.0,Q459158,Albert Ramos,ATP
105138,Roberto,Bautista Agut,R,19880414.0,ESP,183.0,Q966542,Roberto Bautista Agut,ATP
105147,Tatsuma,Ito,R,19880518.0,JPN,180.0,Q708345,Tatsuma Ito,ATP
105155,Pedro,Sousa,R,19880527.0,POR,180.0,Q2498113,Pedro Sousa,ATP
105156,Federico,Zeballos,R,19880530.0,BOL,185.0,Q27050033,Federico Zeballos,ATP
105173,Adrian,Mannarino,L,19880629.0,FRA,180.0,Q373522,Adrian Mannarino,ATP
105180,Daniel,Dutra Da Silva,L,19880705.0,BRA,173.0,Q5217022,Daniel Dutra Da Silva,ATP
105188,John,Peers,R,19880725.0,AUS,188.0,Q559692,John Peers,ATP
105208,Ernests,Gulbis,R,19880830.0,LAT,190.0,Q295866,Ernests Gulbis,ATP
105216,Yuichi,Sugita,R,19880918.0,JPN,173.0,Q1358841,Yuichi Sugita,ATP
105223,Juan Martin,del Potro,R,19880923.0,ARG,198.0,Q180535,Juan Martin del Potro,ATP
105226,Attila,Balazs,R,19880927.0,HUN,180.0,Q758074,Attila Balazs,ATP
105227,Marin,Cilic,R,19880928.0,CRO,198.0,Q245241,Marin Cilic,ATP
105269,Marcelo,Demoliner,R,19890118.0,BRA,191.0,Q2158099,Marcelo Demoliner,ATP
105271,Gonzalo,Escobar,L,19890120.0,ECU,178.0,Q18637325,Gonzalo Escobar,ATP
105278,Alexis,Klegou,U,19890125.0,BEN,,Q33190369,Alexis Klegou,ATP
105292,Alejandro,Gonzalez,R,19890207.0,COL,190.0,Q4714552,Alejandro Gonzalez,ATP
105311,Joao,Sousa,R,19890330.0,POR,185.0,Q1338865,Joao Sousa,ATP
105332,Benoit,Paire,R,19890508.0,FRA,196.0,Q246542,Benoit Paire,ATP
105334,Luis David,Martinez,R,19890512.0,VEN,178.0,Q17364417,Luis David Martinez,ATP
105341,Thomas,Fabbiano,R,19890526.0,ITA,173.0,Q3990614,Thomas Fabbiano,ATP
105349,Harri,Heliovaara,R,19890604.0,FIN,188.0,Q13534,Harri Heliovaara,ATP
105357,John,Millman,R,19890614.0,AUS,183.0,Q2152388,John Millman,ATP
105359,Jason,Jung,R,19890615.0,TPE,180.0,Q16300924,Jason Jung,ATP
