player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,full_name,tour
200033,Serena,Williams,R,19810926.0,USA,175.0,Q11459,Serena Williams,WTA
200079,Kim,Clijsters,R,19830608.0,BEL,175.0,Q11685,Kim Clijsters,WTA
200748,Venus,Williams,R,19800617.0,USA,185.0,Q11578,Venus Williams,WTA
201318,Bethanie,Mattek Sands,R,19850323.0,USA,168.0,Q54537,Bethanie Mattek Sands,WTA
201320,Svetlana,Kuznetsova,R,19850627.0,RUS,174.0,Q192064,Svetlana Kuznetsova,WTA
201325,Samantha,Stosur,R,19840330.0,AUS,172.0,Q191766,Samantha Stosur,WTA
201329,Vera,Zvonareva,R,19840907.0,RUS,172.0,Q374053,Vera Zvonareva,WTA
201345,Maria,Sharapova,R,19870419.0,RUS,188.0,Q11666,Maria Sharapova,WTA
201366,Barbora,Strycova,R,19860328.0,CZE,164.0,Q230353,Barbora Strycova,WTA
201397,Shuai,Peng,R,19860108.0,CHN,173.0,Q229087,Shuai Peng,WTA
201426,Pauline,Parmentier,R,19860131.0,FRA,175.0,Q239646,Pauline Parmentier,WTA
201427,Alize,Cornet,R,19900122.0,FRA,173.0,Q229002,Alize Cornet,WTA
201435,Kateryna,Bondarenko,R,19860808.0,UKR,175.0,Q231974,Kateryna Bondarenko,WTA
201443,Alexa,Glatch,R,19890910.0,USA,183.0,Q53553,Alexa Glatch,WTA
201444,Su Wei,Hsieh,R,19860104.0,TPE,169.0,Q232566,Su Wei Hsieh,WTA
201450,Tsvetana,Pironkova,R,19870913.0,BUL,180.0,Q229460,Tsvetana Pironkova,WTA
201454,Akgul,Amanmuradova,R,19840623.0,UZB,190.0,Q236858,Akgul Amanmuradova,WTA
201455,Elena,Vesnina,R,19860801.0,RUS,176.0,Q634844,Elena Vesnina,WTA
201458,Victoria,Azarenka,R,19890731.0,BLR,180.0,Q10118,Victoria Azarenka,WTA
201465,Kirsten,Flipkens,R,19860110.0,BEL,165.0,Q211599,Kirsten Flipkens,WTA
201466,Kaia,Kanepi,R,19850610.0,EST,181.0,Q211428,Kaia Kanepi,WTA
201468,Yaroslava,Shvedova,R,19870912.0,KAZ,180.0,Q229073,Yaroslava Shvedova,WTA
201478,Varvara,Lepchenko,L,19860521.0,USA,180.0,Q54532,Varvara Lepchenko,WTA
201481,Tamira,Paszek,R,19901206.0,AUT,165.0,Q230231,Tamira Paszek,WTA
201483,Madison,Brengle,R,19900403.0,USA,168.0,Q53336,Madison Brengle,WTA
201492,Andrea,Petkovic,R,19870909.0,GER,180.0,Q57557,Andrea Petkovic,WTA
201493,Angelique,Kerber,L,19880118.0,GER,173.0,Q77178,Angelique Kerber,WTA
201496,Caroline,Wozniacki,R,19900711.0,DEN,177.0,Q30767,Caroline Wozniacki,WTA
201499,Anastasia,Pavlyuchenkova,R,19910703.0,RUS,177.0,Q487182,Anastasia Pavlyuchenkova,WTA
201501,Olga,Govortsova,R,19880823.0,BLR,182.0,Q230248,Olga Govortsova,WTA
201504,Julia,Goerges,R,19881102.0,GER,180.0,Q77167,Julia Goerges,WTA
201506,Sara,Errani,R,19870429.0,ITA,164.0,Q229005,Sara Errani,WTA
201512,Monica,Niculescu,R,19870925.0,ROU,168.0,Q230346,Monica Niculescu,WTA
201513,Sabine,Lisicki,R,19890922.0,GER,178.0,Q76338,Sabine Lisicki,WTA
201514,Sorana,Cirstea,R,19900407.0,ROU,176.0,Q230242,Sorana Cirstea,WTA
201516,Evgeniya,Rodina,R,19890204.0,RUS,170.0,Q258950,Evgeniya Rodina,WTA
201518,Yanina,Wickmayer,R,19891020.0,BEL,182.0,Q228983,Yanina Wickmayer,WTA
201520,Petra,Kvitova,L,19900308.0,CZE,183.0,Q30812,Petra Kvitova,WTA
201521,Carla,Suarez Navarro,R,19880903.0,ESP,162.0,Q230260,Carla Suarez Navarro,WTA
201524,Urszula,Radwanska,R,19901207.0,POL,177.0,Q236866,Urszula Radwanska,WTA
201527,Stefanie,Voegele,R,19900310.0,SUI,170.0,Q234838,Stefanie Voegele,WTA
201529,Kristie,Ahn,R,19920615.0,USA,165.0,Q3104444,Kristie Ahn,WTA
201533,Shuai,Zhang,R,19890121.0,CHN,177.0,Q197291,Shuai Zhang,WTA
201534,Asia,Muhammad,R,19910404.0,USA,178.0,Q4806395,Asia Muhammad,WTA
201535,Coco,Vandeweghe,R,19911206.0,USA,185.0,Q54688,Coco Vandeweghe,WTA
201539,Christina,Mchale,R,19920511.0,USA,170.0,Q45405,Christina Mchale,WTA
201540,Kristina,Mladenovic,R,19930514.0,FRA,184.0,Q242959,Kristina Mladenovic,WTA
201545,Anastasija,Sevastova,R,19900413.0,LAT,169.0,Q232445,Anastasija Sevastova,WTA
201548,Ajla,Tomljanovic,R,19930507.0,AUS,180.0,Q2712407,Ajla Tomljanovic,WTA
201549,Petra,Martic,R,19910119.0,CRO,181.0,Q232553,Petra Martic,WTA
201551,Arantxa,Rus,L,19901213.0,NED,180.0,Q239758,Arantxa Rus,WTA
201554,Vitalia,Diatchenko,R,19900802.0,RUS,170.0,Q254756,Vitalia Diatchenko,WTA
201555,Polona,Hercog,R,19910120.0,SLO,182.0,Q229079,Polona Hercog,WTA
201556,Lucie,Hradecka,R,19850521.0,CZE,177.0,Q11583,Lucie Hradecka,WTA
201565,Katarzyna,Piter,R,19910216.0,POL,173.0,Q83562,Katarzyna Piter,WTA
201567,Alexandra,Dulgheru,R,19890530.0,ROU,172.0,Q231028,Alexandra Dulgheru,WTA
201568,Kristina,Kucova,R,19900523.0,SVK,163.0,Q254267,Kristina Kucova,WTA
201580,Xinyun,Han,L,19900530.0,CHN,172.0,Q713509,Xinyun Han,WTA
201585,Sloane,Stephens,R,19930320.0,USA,170.0,Q54670,Sloane Stephens,WTA
201586,Heather,Watson,R,19920519.0,GBR,170.0,Q239605,Heather Watson,WTA
201590,Alison,Riske Amritraj,R,19900703.0,USA,173.0,Q54572,Alison Riske Amritraj,WTA
201593,Irina Camelia,Begu,R,19900826.0,ROU,181.0,Q239751,Irina Camelia Begu,WTA
201594,Simona,Halep,R,19910927.0,ROU,168.0,Q230156,Simona Halep,WTA
201595,Misaki,Doi,L,19910429.0,JPN,159.0,Q34256,Misaki Doi,WTA
201596,Johanna,Larsson,R,19880817.0,SWE,174.0,Q233328,Johanna Larsson,WTA
201597,Kurumi,Nara,R,19911230.0,JPN,155.0,Q270125,Kurumi Nara,WTA
201603,Shelby,Rogers,R,19921013.0,USA,175.0,Q377658,Shelby Rogers,WTA
201605,Mandy,Minella,R,19851122.0,LUX,180.0,Q239841,Mandy Minella,WTA
201606,Rebecca,Marino,R,19901216.0,CAN,183.0,Q241946,Rebecca Marino,WTA
201610,Zarina,Diyas,R,19931018.0,KAZ,172.0,Q2466357,Zarina Diyas,WTA
201611,Daria,Saville,R,19940305.0,AUS,166.0,Q2446649,Daria Saville,WTA
201613,Arina,Rodionova,R,19891215.0,AUS,168.0,Q291769,Arina Rodionova,WTA
201614,Caroline,Garcia,R,19931016.0,FRA,177.0,Q258877,Caroline Garcia,WTA
201615,Lesia,Tsurenko,R,19890530.0,UKR,174.0,Q289378,Lesia Tsurenko,WTA
201616,Lauren,Davis,R,19931009.0,USA,157.0,Q53405,Lauren Davis,WTA
201619,Madison,Keys,R,19950217.0,USA,178.0,Q34403,Madison Keys,WTA
201620,Monica,Puig,R,19930927.0,PUR,170.0,Q1616699,Monica Puig,WTA
201621,Mona,Barthel,R,19900711.0,GER,185.0,Q77153,Mona Barthel,WTA
201659,Melanie,Klaffner,R,19900522.0,AUT,171.0,Q531929,Melanie Klaffner,WTA
